Cross_section,Test_Type,Sustained Loading,W (mm),D (mm),L (mm),Side Cover (mm),Bottom Cover (mm),Top Cover (mm),Reinforcement_Design,Tension Ratio (%),Comp Ratio (%),Longitudinal_Type,End_Anchorage,fy (MPa),fsu (MPa),Stirrup_Type,Volumetric Ratio,Cement_Type,W/C Ratio,fc (MPa),Corrosion_Method,Cathode_Type,Lc (mm),Icorr,Duration (days),Solution Concentration,Immersion Depth (mm),Wet_Dry_Ratio,Mass Loss (%),Sample Length (mm),Shear Span (mm),M_max_exp,ln(M_max_exp)
R,SS_FPB_MONO_SUST,9,120,250,2150,40,40,37,T_C,1.026,0.335,D,S,407.27,531.26,P,0.838,OPC/UHTCC,0.5,35.7,IC,External stainless steel plate,450,200,62,3.5,60,1:02,10.55,450,750,31.38,3.446170747
R,SS_FPB_MONO_SUST,22,120,250,2150,40,40,37,T_C,1.026,0.335,D,S,408.2,532.48,P,0.838,OPC/UHTCC,0.5,35.7,IC,External stainless steel plate,450,200,62,3.5,60,1:02,10.32,450,750,33.96,3.525072931
R,SS_FPB_MONO_SUST,33,120,250,2150,40,40,37,T_C,1.026,0.335,D,S,403.1,525.82,P,0.838,OPC/UHTCC,0.5,35.7,IC,External stainless steel plate,450,200,62,3.5,60,1:02,11.58,450,750,31.47,3.448915543
R,SS_FPB_MONO_SUST,33,120,250,2150,40,40,37,T_C,1.026,0.335,D,S,383.9,500.78,P,0.838,OPC/UHTCC,0.5,35.7,IC,External stainless steel plate,450,200,93,3.5,60,1:02,16.32,450,750,21.77,3.080475455
R,SS_FPB_MONO_SUST,42,120,250,2150,40,40,37,T_C,1.026,0.335,D,S,403.02,525.72,P,0.838,OPC/UHTCC,0.5,35.7,IC,External stainless steel plate,450,200,62,3.5,60,1:02,11.6,450,750,23.7,3.165633263
R,SS_FPB_MONO,0,100,200,1500,26,26,24,T_C,1.131,0.503,D,H-90,555,656,P,1.005,OPC,0.56,45.8,C,Control,0,0,0,0,0,1:02,0,0,400,20.02,2.996531954
R,SS_FPB_MONO,0,100,200,1500,26,26,24,T_C,1.131,0.503,D,H-90,536.52,634.16,P,1.005,OPC,0.56,45.8,IC,External stainless steel plate,1380,400,11.7,5,100,N/A,3.7,400,400,19.3,2.960001464
R,SS_FPB_MONO,0,100,200,1500,26,26,24,T_C,1.131,0.503,D,H-90,497.41,608.18,P,1.005,OPC,0.56,45.8,IC,External stainless steel plate,1380,400,23.3,5,100,N/A,8.1,400,400,18.42,2.913328447
R,SS_FPB_MONO,0,100,200,1500,26,26,24,T_C,1.131,0.503,D,H-90,438.31,578.07,P,1.005,OPC,0.56,45.8,IC,External stainless steel plate,1380,400,35,5,100,N/A,13.2,400,400,17.38,2.855435188
R,SS_FPB_MONO,0,100,150,910,24,30,23,T_C,0.67,0.377,D,H-90,460,496.8,P,0.665,OPC,0.44,44.8,C,Control,0,0,0,0,0,N/A,0,0,250,7.19,1.972343406
R,SS_FPB_MONO,0,100,150,910,24,30,23,T_C,0.67,0.377,D,H-90,454.2,490.54,P,0.665,OPC,0.44,44.8,IC,Protected compression bars,910,1000,10,3.5,75,N/A,1.4,750,250,6.84,1.922422168
R,SS_FPB_MONO,0,100,150,910,24,30,23,T_C,0.67,0.377,D,H-90,450.48,486.52,P,0.665,OPC,0.44,44.8,IC,Protected compression bars,910,1000,10,3.5,75,N/A,2.3,750,250,5.49,1.702472778
R,SS_FPB_MONO,0,100,150,910,24,30,23,T_C,0.67,0.377,D,H-90,424.81,458.79,P,0.665,OPC,0.44,44.8,IC,Protected compression bars,910,1000,24,3.5,75,N/A,8.5,750,250,5.2,1.648658626
R,SS_FPB_MONO,0,100,150,910,24,30,23,T_C,0.67,0.377,D,H-90,418.6,452.09,P,0.665,OPC,0.44,44.8,IC,Protected compression bars,910,1000,24,3.5,75,N/A,10,750,250,4.43,1.487270278
R,SS_FPB_MONO,0,100,150,910,24,30,23,T_C,0.67,0.377,D,H-90,395.83,427.5,P,0.665,OPC,0.44,44.8,IC,Protected compression bars,910,1000,31,3.5,75,N/A,15.5,750,250,2.43,0.885831524
R,SS_FPB_MONO,0,100,150,910,24,30,23,T_C,0.67,0.377,D,H-90,383.41,414.08,P,0.665,OPC,0.44,44.8,IC,Protected compression bars,910,1000,31,3.5,75,N/A,18.5,750,250,2.6,0.955511445
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,460,496.8,P,0.665,OPC,0.44,42,C,Control,0,0,0,0,0,N/A,0,0,250,6.94,1.936941479
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,456.69,493.22,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,10,3.5,75,N/A,0.8,750,250,7.14,1.965362575
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,456.27,492.78,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,10,3.5,75,N/A,0.9,750,250,6.53,1.875640953
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,454.2,490.54,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,10,3.5,75,N/A,1.4,750,250,5.65,1.731655545
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,440.96,476.23,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,14,3.5,75,N/A,4.6,750,250,5.59,1.72053196
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,424.81,458.79,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,24,3.5,75,N/A,8.5,750,250,4.38,1.47590652
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,420.26,453.88,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,24,3.5,75,N/A,9.6,750,250,4.3,1.458615023
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,397.9,429.73,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,31,3.5,75,N/A,15,750,250,3.06,1.119231576
R,SS_FPB_MONO,0,100,150,910,24,40,23,T_C,0.67,0.377,D,H-90,386.31,417.21,P,0.665,OPC,0.44,42,IC,Protected compression bars,910,1000,31,3.5,75,N/A,17.8,750,250,2.61,0.960307617
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,460,496.8,P,0.665,OPC,0.44,41.8,C,Control,0,0,0,0,0,N/A,0,0,250,5.18,1.643839339
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,428.12,462.37,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,24,3.5,75,N/A,7.7,750,250,4.24,1.443973473
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,438.06,473.1,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,14,3.5,75,N/A,5.3,750,250,4.15,1.423108334
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,448.82,484.73,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,10,3.5,75,N/A,2.7,750,250,5.36,1.679430284
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,445.51,481.15,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,10,3.5,75,N/A,3.5,750,250,4.9,1.589235205
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,431.43,465.95,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,14,3.5,75,N/A,6.9,750,250,4.33,1.46441214
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,397.49,429.28,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,31,3.5,75,N/A,15.1,750,250,2.13,0.753771802
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,423.15,457.01,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,24,3.5,75,N/A,8.9,750,250,3.28,1.186317869
R,SS_FPB_MONO,0,100,150,910,24,60,23,T_C,0.67,0.377,D,H-90,392.1,423.47,P,0.665,OPC,0.44,41.8,IC,Protected compression bars,910,1000,31,3.5,75,N/A,16.4,750,250,1.25,0.223143551
R,SS_FPB_MONO,0,100,150,910,25,31,23,T_C,1.047,0.377,D,H-90,460,496.8,P,0.707,OPC,0.44,39.3,C,Control,0,0,0,0,0,N/A,0,0,250,10.86,2.385316491
R,SS_FPB_MONO,0,100,150,910,25,31,23,T_C,1.047,0.377,D,H-90,442.61,478.02,P,0.707,OPC,0.44,39.3,IC,Protected compression bars,910,1000,14,3.5,75,N/A,4.2,750,250,10.84,2.383012342
R,SS_FPB_MONO,0,100,150,910,25,31,23,T_C,1.047,0.377,D,H-90,441.37,476.68,P,0.707,OPC,0.44,39.3,IC,Protected compression bars,910,1000,14,3.5,75,N/A,4.5,750,250,10.28,2.32971376
R,SS_FPB_MONO,0,100,150,910,25,31,23,T_C,1.047,0.377,D,H-90,449.24,485.17,P,0.707,OPC,0.44,39.3,IC,Protected compression bars,910,1000,10,3.5,75,N/A,2.6,750,250,8.55,2.145931283
R,SS_FPB_MONO,0,100,150,910,25,31,23,T_C,1.047,0.377,D,H-90,443.44,478.92,P,0.707,OPC,0.44,39.3,IC,Protected compression bars,910,1000,14,3.5,75,N/A,4,750,250,8.13,2.094945728
R,SS_FPB_MONO,0,100,150,910,25,31,23,T_C,1.047,0.377,D,H-90,433.09,467.74,P,0.707,OPC,0.44,39.3,IC,Protected compression bars,910,1000,14,3.5,75,N/A,6.5,750,250,7.99,2.07787782
R,SS_FPB_MONO,0,100,150,910,25,31,23,T_C,1.047,0.377,D,H-90,428.95,463.27,P,0.707,OPC,0.44,39.3,IC,Protected compression bars,910,1000,24,3.5,75,N/A,7.5,750,250,7.83,2.057323736
R,SS_FPB_MONO,0,100,150,910,25,41,23,T_C,1.047,0.377,D,H-90,460,496.8,P,0.707,OPC,0.44,47.8,C,Control,0,0,0,0,0,N/A,0,0,250,9.49,2.249975143
R,SS_FPB_MONO,0,100,150,910,25,41,23,T_C,1.047,0.377,D,H-90,449.65,485.62,P,0.707,OPC,0.44,47.8,IC,Protected compression bars,910,1000,10,3.5,75,N/A,2.5,750,250,8.69,2.161885211
R,SS_FPB_MONO,0,100,150,910,25,41,23,T_C,1.047,0.377,D,H-90,446.34,482.05,P,0.707,OPC,0.44,47.8,IC,Protected compression bars,910,1000,10,3.5,75,N/A,3.3,750,250,8.86,2.181828892
R,SS_FPB_MONO,0,100,150,910,25,41,23,T_C,1.047,0.377,D,H-90,432.26,466.84,P,0.707,OPC,0.44,47.8,IC,Protected compression bars,910,1000,14,3.5,75,N/A,6.7,750,250,7.21,1.975815632
R,SS_FPB_MONO,0,100,150,910,25,41,23,T_C,1.047,0.377,D,H-90,425.64,459.69,P,0.707,OPC,0.44,47.8,IC,Protected compression bars,910,1000,24,3.5,75,N/A,8.3,750,250,6.89,1.929708174
R,SS_FPB_MONO,0,100,150,910,25,41,23,T_C,1.047,0.377,D,H-90,421.91,455.66,P,0.707,OPC,0.44,47.8,IC,Protected compression bars,910,1000,24,3.5,75,N/A,9.2,750,250,6.78,1.913239367
R,SS_FPB_MONO,0,100,150,910,25,41,23,T_C,1.047,0.377,D,H-90,450.48,486.52,P,0.707,OPC,0.44,47.8,IC,Protected compression bars,910,1000,10,3.5,75,N/A,2.3,750,250,8.81,2.176171168
R,SS_FPB_MONO,0,80,120,1200,23,23,22,T_C,1.047,0.589,D,H-180,334,437.4,P,0.209,PCB40,0.6,25,C,Control,0,0,0,0,0,N/A,0,0,400,5.52,1.708015476
R,SS_FPB_MONO,0,80,120,1200,23,23,22,T_C,1.047,0.589,D,H-180,311.46,407.88,P,0.209,PCB40,0.6,25,IC,External copper bar,1200,125,10,3.5,120,N/A,7.5,1200,400,5.9,1.77461331
R,SS_FPB_MONO,0,80,120,1200,23,23,22,T_C,1.047,0.589,D,H-180,301.54,394.88,P,0.209,PCB40,0.6,25,IC,External copper bar,1200,125,14,3.5,120,N/A,10.8,1200,400,4.96,1.601002434
R,SS_FPB_MONO,0,80,120,1200,24,24,22,T_C,1.636,0.589,D,H-180,334,437.4,P,0.209,PCB40,0.6,25,C,Control,0,0,0,0,0,N/A,0,0,400,7.28,1.984856099
R,SS_FPB_MONO,0,80,120,1200,24,24,22,T_C,1.636,0.589,D,H-180,309.05,404.73,P,0.209,PCB40,0.6,25,IC,External copper bar,1200,125,10,3.5,120,N/A,8.3,1200,400,7.32,1.990337067
R,SS_FPB_MONO,0,80,120,1200,24,24,22,T_C,1.636,0.589,D,H-180,291.62,381.89,P,0.209,PCB40,0.6,25,IC,External copper bar,1200,125,14,3.5,120,N/A,14.1,1200,400,5.84,1.764388272
R,SS_FPB_MONO,0,100,170,1500,32,32,31,T_C,1.331,0.924,D,S,385,630,P,0.377,OPC,0.53,42.5,C,Control,0,0,0,0,0,N/A,0,0,475,12.94,2.560613046
R,SS_FPB_MONO,0,100,170,1500,32,32,31,T_C,1.331,0.924,D,S,353.23,578.01,P,0.377,OPC,0.53,42.5,IC,Internal stainless steel belt,1500,200,43.3,5,170,4:03,9.17,1500,475,12.4,2.517494839
R,SS_FPB_MONO_SUST,30,100,170,1500,32,32,31,T_C,1.331,0.924,D,S,353.23,578.01,P,0.377,OPC,0.53,42.5,IC,Internal stainless steel belt,1500,200,43.3,5,170,4:03,9.17,1500,475,11.28,2.423142056
R,SS_FPB_MONO_SUST,50,100,170,1500,32,32,31,T_C,1.331,0.924,D,S,353.23,578.01,P,0.377,OPC,0.53,42.5,IC,Internal stainless steel belt,1500,200,43.3,5,170,4:03,9.17,1500,475,10.78,2.37792445
R,SS_FPB_MONO,0,80,140,1460,40,26.5,0,ST,1.185,0,D,H-180,310.1,440.43,P,0.707,OPC,0.5,50.7,IC,External copper net,1460,50,440,3,50,N/A,11.24,100,490,6.37,1.85159947
R,SS_FPB_MONO,0,80,140,1460,40,26.5,0,ST,1.185,0,D,H-180,311.47,442.37,P,0.707,OPC,0.5,48.3,IC,External copper net,1460,100,210,3,50,N/A,10.8,100,490,5.88,1.771556762
R,SS_FPB_MONO,0,80,140,1460,40,26.5,0,ST,1.185,0,D,H-180,303.8,431.48,P,0.707,OPC,0.5,49,IC,External copper net,1460,200,130,3,50,N/A,13.27,100,490,5.73,1.746238954
R,SS_FPB_MONO,0,80,140,1460,40,26.5,0,ST,1.185,0,D,H-180,302.09,429.05,P,0.707,OPC,0.5,30.2,IC,External copper net,1460,500,55,3,50,N/A,13.82,100,490,5.39,1.684545385
R,SS_FPB_MONO,0,80,140,1460,40,16.5,0,ST,1.185,0,D,H-180,297.87,423.06,P,0.707,OPC,0.5,50.1,IC,External copper net,1460,100,300,3,50,N/A,15.18,100,490,5.95,1.783979282
R,SS_FPB_MONO,0,80,140,1460,40,19.5,0,ST,2.532,0,D,H-180,304.79,432.89,P,0.707,OPC,0.5,47,IC,External copper net,1460,100,250,3,50,N/A,12.95,100,490,12.59,2.533141104
R,SS_FPB_MONO,0,80,140,1460,40,29.5,0,ST,2.532,0,D,H-180,306.37,435.14,P,0.707,OPC,0.5,47,IC,External copper net,1460,100,250,3,50,N/A,12.44,100,490,11.17,2.413410648
R,SS_FPB_MONO,0,80,140,1460,40,26.5,0,ST,1.185,0,D,H-180,308.08,437.57,P,0.707,OPC,0.71,38.6,IC,External copper net,1460,100,250,3,50,N/A,11.89,100,490,5.78,1.754749644
R,SS_FPB_MONO,0,200,350,2000,41.5,41.5,35,T_M_C,0.569,0.386,D,S,463,578.75,P,0.202,OPC,0.52,31,C,Control,0,0,0,0,0,N/A,0,0,400,54.4,3.996364154
R,SS_FPB_MONO,0,200,350,2000,41.5,41.5,35,T_M_C,0.569,0.386,D,S,417.16,521.45,P,0.202,OPC,0.52,31,IC,External stainless steel plate,900,850,25,5,62.5,N/A,11,100,400,52.6,3.96271612
R,SS_FPB_MONO,0,200,350,2000,41.5,41.5,35,T_M_C,0.569,0.386,D,S,392.16,490.2,P,0.202,OPC,0.52,31,IC,External stainless steel plate,900,850,40,5,62.5,N/A,17,100,400,49.2,3.895893623
R,SS_FPB_MONO,0,200,350,2000,41.5,41.5,35,T_M_C,0.569,0.386,D,S,392.16,490.2,P,0.202,OPC,0.52,31,IC,External stainless steel plate,900,850,40,5,62.5,N/A,17,100,400,49.4,3.899950424
R,SS_FPB_MONO,0,200,350,2000,41.5,41.5,35,T_M_C,0.569,0.386,D,S,354.66,443.32,P,0.202,OPC,0.52,31,IC,External stainless steel plate,900,850,60,5,62.5,N/A,26,100,400,42,3.737669618
R,SS_FPB_MONO,0,200,350,2000,41.5,41.5,35,T_M_C,0.569,0.386,D,S,346.32,432.91,P,0.202,OPC,0.52,31,IC,External stainless steel plate,900,850,65,5,62.5,N/A,28,100,400,36.6,3.60004824
R,SS_FPB_MONO,0,200,350,2000,41.5,41.5,35,T_M_C,0.569,0.386,D,S,304.65,380.82,P,0.202,OPC,0.52,31,IC,External stainless steel plate,900,850,85,5,62.5,N/A,38,100,400,18,2.890371758
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.452,0.226,D,H-90,489,599,D,0.419,OPC,0.43,44,C,Control,0,0,0,0,0,N/A,0,0,1150,104.82,4.652244593
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.452,0.226,D,H-90,454.72,557,D,0.419,OPC,0.43,44,IC,External copper plate,2500,92.6,77.4,3.5,380,N/A,7.79,2500,1150,95.31,4.557134737
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.452,0.226,D,H-90,448.33,549.19,D,0.419,OPC,0.43,44,IC,External copper plate,2500,57.2,150.1,3.5,380,N/A,9.24,2500,1150,78.41,4.36195147
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.452,0.226,D,H-90,418.63,512.8,D,0.419,OPC,0.43,44,IC,External copper plate,2500,82.5,178.8,3.5,380,N/A,15.99,2500,1150,67.54,4.212720015
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.804,0.226,D,H-90,411,491,D,0.483,OPC,0.52,30,C,Control,0,0,0,0,0,N/A,0,0,1150,161.57,5.084938485
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.804,0.226,D,H-90,395.39,472.35,D,0.483,OPC,0.52,30,IC,External copper plate,2500,38.5,130.1,3.5,380,N/A,4.22,2500,1150,131.36,4.877941646
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.804,0.226,D,H-90,385.14,460.11,D,0.483,OPC,0.52,30,IC,External copper plate,2500,45.9,179.5,3.5,380,N/A,6.99,2500,1150,128.41,4.85522827
R,SS_TPB_MONO,0,250,400,2500,25,25,25,T_C,0.804,0.226,D,H-90,381,455.16,D,0.483,OPC,0.52,30,IC,External copper plate,2500,45.9,208.5,3.5,380,N/A,8.11,2500,1150,106.15,4.664853188
R,SS_FPB_MONO,0,80,120,550,31,31,26,ST,0.818,0,D,S,390,520,P,1.414,OPC,0.7,30,C,Control,0,0,0,0,0,N/A,0,0,175,3.01,1.101940079
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,584,626,N/A,0,OPC,0.46,46,C,Control,0,0,0,0,0,N/A,0,0,800,16,2.772588722
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,584,626,N/A,0,OPC,0.46,51,C,Control,0,0,0,0,0,N/A,0,0,800,15.48,2.739548868
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,584,626,N/A,0,OPC,0.46,51,C,Control,0,0,0,0,0,N/A,0,0,800,15.28,2.726282969
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,536.7,575.29,N/A,0,OPC,0.46,53,IC,External stainless steel plate,1500,100,55,5,1,N/A,9,200,800,14.07,2.644187007
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,534.75,573.21,N/A,0,OPC,0.46,53,IC,External stainless steel plate,1500,100,55,5,1,N/A,9.37,200,800,14.82,2.69597762
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,483.19,517.94,N/A,0,OPC,0.46,61,IC,External stainless steel plate,1500,100,140,5,1,N/A,19.18,200,800,12.48,2.524447824
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,478.46,512.87,N/A,0,OPC,0.46,61,IC,External stainless steel plate,1500,100,140,5,1,N/A,20.08,200,800,11.99,2.483906149
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,455.33,488.08,N/A,0,OPC,0.46,57.5,IC,External stainless steel plate,1500,100,180,5,1,N/A,24.48,200,800,11.47,2.439560548
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,D,S,490.76,526.05,N/A,0,OPC,0.46,57.5,IC,External stainless steel plate,1500,100,180,5,1,N/A,17.74,200,800,12.17,2.498809555
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,220,330,N/A,0,OPC,0.46,54,C,Control,0,0,0,0,0,N/A,0,0,800,10.06,2.308567165
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,220,330,N/A,0,OPC,0.46,54,C,Control,0,0,0,0,0,N/A,0,0,800,9.56,2.257587727
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,194.74,292.1,N/A,0,OPC,0.46,59,IC,External stainless steel plate,1500,100,55,5,1,N/A,12.76,200,800,8.07,2.08790562
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,198.81,298.22,N/A,0,OPC,0.46,59,IC,External stainless steel plate,1500,100,55,5,1,N/A,10.7,200,800,8.08,2.089391873
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,186.34,279.51,N/A,0,OPC,0.46,54.5,IC,External stainless steel plate,1500,100,120,5,1,N/A,17,200,800,8.66,2.158714723
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,184.87,277.31,N/A,0,OPC,0.46,54.5,IC,External stainless steel plate,1500,100,120,5,1,N/A,17.74,200,800,7.34,1.993338843
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,169.81,254.71,N/A,0,OPC,0.46,51.5,IC,External stainless steel plate,1500,100,175,5,1,N/A,25.35,200,800,7.52,2.017034082
R,SS_TPB_MONO,0,150,200,1800,37,37,0,ST,0.513,0,P,S,161.71,242.56,N/A,0,OPC,0.46,51.5,IC,External stainless steel plate,1500,100,175,5,1,N/A,29.44,200,800,7.78,2.051042067
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,584,626,P,0.67,OPC,0.46,67.4,C,Control,0,0,0,0,0,N/A,0,0,500,32.8,3.490428515
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,584,626,P,0.67,OPC,0.46,67.4,C,Control,0,0,0,0,0,N/A,0,0,500,33.13,3.500288284
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,537.75,576.42,P,0.67,OPC,0.46,67.4,IC,External stainless steel plate,1400,100,55,5,1,N/A,8.8,200,500,30.4,3.414442608
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,537.75,576.42,P,0.67,OPC,0.46,67.4,IC,External stainless steel plate,1400,100,55,5,1,N/A,8.8,200,500,30.53,3.41854602
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,517.77,555.01,P,0.67,OPC,0.46,67.4,IC,External stainless steel plate,1400,100,55,5,1,N/A,12.6,200,500,31,3.433987204
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,496.22,531.91,P,0.67,OPC,0.46,67.4,IC,External stainless steel plate,1400,100,120,5,1,N/A,16.7,200,500,29.83,3.395346968
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,482.82,517.55,P,0.67,OPC,0.46,67.4,IC,External stainless steel plate,1400,100,120,5,1,N/A,19.25,200,500,28.93,3.364706273
R,SS_FPB_MONO,0,150,200,1800,35,35,34,T_C,1.026,0.754,D,S,427.11,457.83,P,0.67,OPC,0.46,67.4,IC,External stainless steel plate,1400,100,175,5,1,N/A,29.85,200,500,22.5,3.113515309
S,SS_FPB_MONO,0,100,100,500,20,20,0,ST,1.571,0,P,S,240,360,N/A,0,OPC,0.44,38.6,C,Control,0,0,0,0,0,N/A,0,0,100,2.8,1.029619417
S,SS_FPB_MONO,0,100,100,500,20,20,0,ST,1.571,0,P,S,240,360,N/A,0,OPC,0.44,38.6,C,Control,0,0,0,0,0,N/A,0,0,100,2.77,1.017402233
S,SS_FPB_MONO,0,100,100,500,20,20,0,ST,1.571,0,P,S,185.35,278.03,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,25.3,500,100,2,0.691145178
S,SS_FPB_MONO,0,100,100,500,20,20,0,ST,1.571,0,P,S,185.57,278.35,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,25.2,500,100,2.21,0.792992516
S,SS_FPB_MONO_SUST,20,100,100,500,20,20,0,ST,1.571,0,P,S,184.49,276.73,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,25.7,500,100,2.02,0.703097511
S,SS_FPB_MONO_SUST,20,100,100,500,20,20,0,ST,1.571,0,P,S,184.7,277.06,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,25.6,500,100,1.9,0.639218839
S,SS_FPB_MONO_SUST,40,100,100,500,20,20,0,ST,1.571,0,P,S,184.92,277.38,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,25.5,500,100,1.74,0.553885113
S,SS_FPB_MONO_SUST,40,100,100,500,20,20,0,ST,1.571,0,P,S,182.54,273.82,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,26.6,500,100,1.69,0.523544396
S,SS_FPB_MONO_SUST,60,100,100,500,20,20,0,ST,1.571,0,P,S,181.03,271.55,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,27.3,500,100,1.29,0.254642218
S,SS_FPB_MONO_SUST,60,100,100,500,20,20,0,ST,1.571,0,P,S,178.01,267.01,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,28.7,500,100,1.62,0.482426149
S,SS_FPB_MONO_SUST,80,100,100,500,20,20,0,ST,1.571,0,P,S,173.04,259.56,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,31,500,100,1.56,0.444685821
S,SS_FPB_MONO_SUST,80,100,100,500,20,20,0,ST,1.571,0,P,S,176.06,264.1,N/A,0,OPC,0.44,38.6,IC,External copper plate,500,300,30,3,100,N/A,29.6,500,100,1.27,0.2390169
R,SS_FPB_MONO,0,150,200,2100,34,34,32,T_C,0.754,0.335,D,S,507,627.7,P,0.67,OPC,0.55,33.2,C,Control,0,0,0,0,0,N/A,0,0,600,20.25,3.008302931
R,SS_FPB_MONO,0,150,200,2100,34,34,32,T_C,0.754,0.335,D,S,488.66,604.99,P,0.67,OPC,0.55,33.2,IC,External stainless steel plate,2100,1000,10,3.5,100,N/A,4.02,100,600,17.76,2.877117642
